No,"FAQ/Guide",Service,Questions,Réponses,Question (DE),Réponse (DE),Schools (tag),Processus (tag)
1,FAQ,SACAD,Comment puis-je m’inscrire à des mailings listes supplémentaires ?,"Si vous suivez des modules dans une autre classe que la vôtre (PFP), vous avez la possibilité de vous inscrire à des listes de diffusion supplémentaires. Par exemple, vous êtes en I-1a, mais vous suivez quelques modules en I-2a. Dans ce cas, vous recevez automatiquement les courriels adressés à la I-1a, mais nous vous conseillons de vous inscrire à la mailing liste de la I-2a. 

Pour faire cela, vous allez sur la page https://webapps.hefr.ch/mailingListes/portals/std/index-portal.jsp depuis l’école ou via une connexion VPN, puis vous vous connectez (bouton en haut à droite, login/password intranet). Ensuite, vous verrez un onglet « PFP » à côté de l’onglet « Liste mail HEFR ». Veuillez sélectionner cet onglet et suivre les instructions à l’écran (« modifier » à droite de la fenêtre). 

En cas de problèmes, veuillez contacter le service desk: https://servicedesk.hefr.ch/",Wie kann ich mich für zusätzliche E-Mail-Verteilerlisten (Mailing Lists) einschreiben?,"Bemerkung: Die Benutzeroberfläche der Website «webapps.hefr.ch» ist zurzeit nur auf Französisch oder Englisch verfügbar. Deshalb übernehmen wir hier die französische Terminologie der Schaltflächen und Registerkarten.

Wenn Sie Module in einer anderen Klasse als Ihrer eigenen belegen (PSP = persönliches Studienprogramm), haben Sie die Möglichkeit, sich in zusätzliche E-Mail-Verteilerlisten (Mailing Lists) einzutragen. Sie sind z. B. in der Klasse I-1a, folgen aber einigen Modulen in der Klasse I-2a. In diesem Fall erhalten Sie automatisch E-Mails, die an I-1a adressiert sind. Wir empfehlen Ihnen jedoch, auch die I-2a Mailingliste zu abonnieren. 

Dazu gehen Sie von der Hochschule aus oder über eine VPN-Verbindung auf:
https://webapps.hefr.ch/mailingListes/portals/std/index-portal.jsp  und loggen sich ein (Schaltfläche oben rechts, login/password intranet). Wählen Sie die Registerkarte ""PFP"" neben ""HEFR Mailing List"" und folgen Sie den Anweisungen auf dem Bildschirm (""modifier"" auf der rechten Seite des Fensters). 

Probleme, Fragen? > ServiceDesk: https://servicedesk.hefr.ch/
",HEIA,Formation
3,FAQ,SI,​Qu’est-ce que l’application SharePoint ou GED ?,"Pour savoir en quoi consiste Sharepoint, merci de consulter :
https://confluence.hefr.ch/x/RIdbAg","Was ist SharePoint oder GED (gestion électronique des données)?
","Das sind Webanwendungen zur elektronischen Verwaltung von Daten. Mehr zu SharePoint: https://confluence.hefr.ch/x/gZZbAg
",HEIA,"Infrastructure
Formation"
5,FAQ,ST,Des micro-ondes sont-ils mis à disposition au sein de l’école ?,"​Plusieurs fours à micro-ondes sont mis à disposition des étudiant·e·s. Chacun·e est responsable d'assurer la propreté de ces appareils. On retrouve des fours à micro-ondes dans les deux cafétérias situées au 4ème étage entre les bâtiments BC et CD, ainsi qu'à tous les étages (rez, 1er, 2ème et 3ème) dans le local se trouvant près de la cage d'escalier BC du site Pérolles 80. Des micro-ondes sont également à disposition sur les sites de Beauregard, Fonderie et Arsenaux 41.","Stehen an der Hochschule auch Mikrowellöfen zu meiner Verfügung?
","Ja, an allen Standorten der HTA-FR stehen Ihnen Mikrowellenöfen zur Verfügung. Auf dem Standort Pérolles sind diese in den Cafeterias im 4. Stock zwischen den Gebäuden BC und CD sowie in den Räumen neben dem Treppenhaus BC (EG, 1., 2. und 3. Stock). Auch an den Standorten Beauregard, Fonderie und Arsenaux 41 können Sie die Mikrowellenöfen benutzen.
Bitte sorgen Sie dafür, dass die Geräte nach dem Benutzen gereinigt und in einwandfreiem Zustand sind.
",HEIA,"Infrastructure
Formation"
6,FAQ,SACAD,​Je souhaite changer mon cursus de bilingue à francophone (voire inversément). Quelle est la procédure à suivre ?,"La demande de changement doit être soumise par e-mail à helga.grossmann@hefr.ch avant 18 heures au plus tard le mercredi de la troisième semaine (à compter du début du semestre). 
Le service académique vous confirmera ensuite votre intégration dans la nouvelle classe. 
",Ich möchte vom zweisprachigen ins französischsprachige Studium wechseln (oder umgekehrt). Wie muss ich vorgehen?,"Die Anfrage für einen Wechsel muss bis spätestens am Mittwoch in der 3. Woche (ab Semesteranfang) vor 18 Uhr per E-Mail an helga.grossmann@hefr.ch eingereicht werden.
Anschliessend bestätigt Ihnen das Studiensekretariat den Wechsel in eine neue Klasse. 
",HEIA,Formation
7,FAQ,SACAD,Dans quels cas puis-je obtenir un certificat d'exmatriculation ?,"Règlement sur la formation de base (Bachelor et Master) en HES-SO :
Art. 38 al. 1 
Est exmatriculé·e l’étudiant·e qui :
a) a obtenu le titre 
b) est exclu·e pour cause d’échec définitif 
c) est exclu·e suite à des sanctions disciplinaires 
d) ne s’est pas acquitté·e des taxes de cours et contributions aux frais d’études après deux rappels 
e) a abandonné sa formation

Un certificat d'exmatriculation est fourni dans les cas mentionnés ci-dessus. En cas de perte de celui-ci, il est possible de demander un duplicata payant au service académique (service.academique@hefr.ch).
L'étudiant·e ne reçoit son certificat d'exmatriculation qu'après s'être acquitté·e de tous les frais et factures ouvertes en son nom auprès de l'école.",Unter welchen Bedingungen erhalte ich ein Exmatrikulationsbestätigung?,"Reglement über die Grundausbildung (Bachelor und Master) an der HES-SO:
Art. 38, Abs. 1
Studierende werden exmatrikuliert, wenn sie: 
a) das Diplom erhalten haben; 
b) aufgrund eines definitiven Nichtbestehens ausgeschlossen werden; 
c) infolge von Disziplinarstrafen ausgeschlossen werden; 
d) die Vorlesungsgebühren und Beiträge zu den Studienkosten auch nach zwei Mahnungen noch nicht entrichtet haben; 
e) ihre Ausbildung abgebrochen haben. 

In den oben erwähnten Fällen erhalten die Studierenden eine Exmatrikulationsbestätigung. Bei Verlust dieser Bestätigung kann beim studiensekretariat@hta-fr.ch ein Duplikat angefordert werden.
Die Exmatrikulationsbestätigung wird erst nach Begleichung aller offenen Rechnungen bei der HTA-FR ausgestellt.
",HEIA,Formation
8,FAQ,SACAD,Comment puis-je obtenir une attestation de réussite pour m'inscrire à une future formation ?,L'attestation de réussite est automatiquement délivrée après la défense orale du travail de Bachelor et l'obtention des 180 ECTS.,"Wie erhalte ich eine Bestätigung für mein abschlossenes Studium, damit ich mich für ein weiteres Studium einschreiben kann?
",Die Bestätigung für ein erfolgreich abgeschlossenes Studium wird automatisch nach der mündlichen Verteidigung der Bachelorarbeit und dem Erhalt der 180 ECTS ausgestellt.,HEIA,Formation
10,FAQ,SACAD,Je dois remplir un formulaire AHES. En quoi consiste ce document ?,"Le formulaire AHES (Accord intercantonal sur les hautes écoles spécialisées) est un document déterminant le canton qui prendra en charge les frais de formation de chaque étudiant·e. Les coûts de formation d'un Bachelor se montant à plusieurs dizaines de milliers de francs par étudiant·e, il est impératif de remplir ce document de manière correcte et dans les délais avant la 1ère rentrée académique.
Toutes les informations relatives au formulaire AHES sont communiquées avant la rentrée par le service académique.","Ich muss ein FHV-Formular (Interkantonale Fachhochschulvereinbarung) ausfüllen. Worum geht es bei diesem Formular?
","Das Formular FHV (Interkantonale Fachhochschulvereinbarung) bestimmt, welcher Kanton die Ausbildungskosten übernimmt. Diese betragen mehrere zehntausend Franken pro Student/in für eine Bachelorausbildung. Deshalb ist es wichtig, das Formular mit den korrekten Angaben fristgerecht vor Studienbeginn auszufüllen.
Die Details zu diesem Formular werden Ihnen vor Studienbeginn vom Studiensekretariat kommuniziert.
",HEIA,Formation
11,FAQ,SACAD,A quel moment vais-je recevoir ma carte d'étudiant·e ?,"Le badge d'étudiant·e vous sera remis lors de la journée d'immatriculation, quelques jours avant le début de vos études.","Wann erhalte ich meine Studierendenkarte (Badge)?
",Sie erhalten den Badge während dem Immatrikulationstag; einige Tage vor Studienbeginn.,HEIA,Formation
12,FAQ,Bibliothèque,​La HEIA-FR a-t-elle une bibliothèque ?,"Oui, elle se trouve sur le site de Pérolles 80, au 3ème étage du bâtiment A ; vous pouvez consulter son site web.
https://www.heia-fr.ch/fr/haute-ecole/organisation-et-services/bibliotheque/","Hat die HTA-FR ein Bibliothek?
","Ja, am Standort Pérolles 80 im 3. Stock. Weitere Infos finden Sie auf der Website. 
https://www.heia-fr.ch/de/hochschule/organisation-und-dienste/bibliothek/",HEIA,"Infrastructure
Formation"
13,FAQ,SI,​A quoi sert l'option Follow me de l'imprimante ?,"L'option FollowMe permet d'imprimer sur n'importe quelle imprimante disponible dans l'école.

Le badge est nécessaire si vous choisissez d'imprimer vos documents en utilisant l'option « follow me » de l'imprimante. Dans ce cas, il suffit de mettre le badge sur une imprimante de votre choix et le document sera directement imprimé. Cette variante est très utile si vous avez des documents à imprimer qui nécessitent un traitement confidentiel comme des examens par exemple.

Un guide d'utilisation détaillé du FollowMe est disponible ​ici​.

https://confluence.hefr.ch/display/public/KBExterneHEFR/FollowMe+et+Mobile+Printing",Wozu dient die Druckerfunktion FollowMe ?,"Die Funktion FollowMe ermöglicht das Ausdrucken auf einem beliebigen Drucker innerhalb der Schule. 

Um diese Funktion benutzen zu können, benötigen Sie Ihren Badge. Sie müssen lediglich Ihren Badge an den gewünschten Drucker halten und das Dokument wird direkt ausgedruckt. Diese Option ist sehr nützlich, wenn Sie vertrauliche Dokumente (z.B. Prüfungen) ausdrucken wollen. 

Ein ausführliches Benutzerhandbuch für FollowMe finden Sie hier​​.

https://confluence.hefr.ch/display/public/KBExterneHEFR/FollowMe+und+Mobile+Printing",HEIA,Infrastructure
